Date,Open,High,Low,Close,Adj Close,Volume
1979-05-03,1.799062,1.805688,1.789122,1.792435,0.443557,2067494
1979-05-04,1.792435,1.799062,1.769243,1.769243,0.437818,1237478
1979-05-07,1.759303,1.759303,1.732798,1.732798,0.428799,2199542
1979-05-08,1.732798,1.765930,1.722858,1.755990,0.434538,2761690
1979-05-09,1.755990,1.755990,1.729485,1.736111,0.429619,2112768
1979-05-10,1.722858,1.722858,1.696353,1.696353,0.419780,3263472
1979-05-11,1.696353,1.736111,1.689726,1.729485,0.427979,1324253
1979-05-14,1.729485,1.732798,1.716232,1.722858,0.426340,1014883
1979-05-15,1.722858,1.742737,1.712919,1.716232,0.424700,4448131
1979-05-16,1.712919,1.712919,1.669847,1.679787,0.415681,4368902
1979-05-17,1.683100,1.729485,1.683100,1.719545,0.425520,2467411
1979-05-18,1.719545,1.729485,1.696353,1.706292,0.422240,1029974
1979-05-21,1.709606,1.726172,1.709606,1.709606,0.423060,1505347
1979-05-22,1.709606,1.722858,1.706292,1.709606,0.423060,1682669
1979-05-23,1.709606,1.722858,1.699666,1.702979,0.421420,2301408
1979-05-24,1.702979,1.702979,1.676474,1.683100,0.416501,7760650
1979-05-25,1.683100,1.696353,1.669847,1.689726,0.421292,2324045
1979-05-29,1.689726,1.693040,1.676474,1.683100,0.419640,1788307
1979-05-30,1.676474,1.676474,1.659908,1.659908,0.413857,3429475
1979-05-31,1.659908,1.673161,1.656595,1.663221,0.414683,2056176
1979-06-01,1.663221,1.676474,1.663221,1.663221,0.414683,1139386
1979-06-04,1.663221,1.673161,1.663221,1.673161,0.417162,773424
1979-06-05,1.673161,1.702979,1.673161,1.689726,0.421292,1792080
1979-06-06,1.689726,1.732798,1.686413,1.729485,0.431205,1897718
1979-06-07,1.729485,1.749364,1.722858,1.742737,0.434509,1709078
1979-06-08,1.736111,1.736111,1.716232,1.726172,0.430379,2090131
1979-06-11,1.726172,1.746051,1.716232,1.746051,0.435335,826243
1979-06-12,1.746051,1.772556,1.742737,1.762617,0.439466,1660032
1979-06-13,1.762617,1.775869,1.759303,1.759303,0.438639,950746
1979-06-14,1.752677,1.752677,1.729485,1.742737,0.434509,1275206
1979-06-15,1.742737,1.759303,1.739424,1.746051,0.435335,1833581
1979-06-18,1.746051,1.746051,1.722858,1.729485,0.431205,2444774
1979-06-19,1.729485,1.746051,1.726172,1.736111,0.432857,1992038
1979-06-20,1.736111,1.736111,1.716232,1.716232,0.427901,2048630
1979-06-21,1.716232,1.736111,1.716232,1.722858,0.429553,3369110
1979-06-22,1.722858,1.736111,1.722858,1.726172,0.430379,939427
1979-06-25,1.726172,1.739424,1.722858,1.736111,0.432857,1384618
1979-06-26,1.736111,1.746051,1.716232,1.716232,0.427901,2957875
1979-06-27,1.716232,1.739424,1.712919,1.739424,0.433683,1592122
1979-06-28,1.739424,1.749364,1.722858,1.739424,0.433683,2429683
1979-06-29,1.755990,1.789122,1.755990,1.789122,0.446074,3908621
1979-07-02,1.769243,1.769243,1.736111,1.736111,0.432857,1320480
1979-07-03,1.736111,1.779183,1.736111,1.775869,0.442770,2022221
